Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network,TeamIDsDate
11/26/2016,S. Carolina @ Clemson,South Carolina-Clemson11-26-2016,South Carolina,Clemson,SCAR,CU,1.5,1756370,ESPN,SCAR@CU11-26-2016
11/29/2014,S.Carolina @ Clemson,South Carolina-Clemson11-29-2014,South Carolina,Clemson,SCAR,CU,1.3,2017304,ESPN,SCAR@CU11-29-2014
8/31/2013,UGA @ Clemson (ABC),Georgia-Clemson08-31-2013,Georgia,Clemson,UGA,CU,4.8,8137249,ABC,UGA@CU08-31-2013
11/24/2012,USC @ Clemson,South Carolina-Clemson11-24-2012,South Carolina,Clemson,SCAR,CU,2,3051373,ESPN,SCAR@CU11-24-2012
9/17/2011,AUB @ Clemson,Auburn-Clemson09-17-2011,Auburn,Clemson,AU,CU,N/A,N/A,ESPN,AU@CU09-17-2011
11/27/2010,USC @ Clemson,South Carolina-Clemson11-27-2010,South Carolina,Clemson,SCAR,CU,1.5,2235523,ESPN,SCAR@CU11-27-2010
8/30/2008,ALA. vs. Clemson (ABC),Alabama-Clemson08-30-2008,Alabama,Clemson,UA,CU,3.57,N/A,ABC,UA@CU08-30-2008
11/25/2006,USC @ Clemson,South Carolina-Clemson11-25-2006,South Carolina,Clemson,SCAR,CU,1.64,N/A,ESPN,SCAR@CU11-25-2006
11/23/2002,S. Carolina @ Clemson,South Carolina-Clemson11-23-2002,South Carolina,Clemson,SCAR,CU,1.54,N/A,ESPN,SCAR@CU11-23-2002
11/29/2008,USC @ Clemson,South Carolina-Clemson11-29-2008,South Carolina,Clemson,SCAR,CU,1.05,1.05,ESPN2,SCAR@CU11-29-2008
9/18/2010,ALA @ Duke,Alabama-Duke09-18-2010,Alabama,Duke,UA,DU,2.6,4174995,ESPN,UA@DU09-18-2010
10/6/2018,LSU @ Florida,LSU-Florida10-06-2018,LSU,Florida,LSU,UF,2.9,4750000,CBS,LSU@UF10-06-2018
9/16/2017,Tennessee @ Florida,Tennessee-Florida09-16-2017,Tennessee,Florida,TENN,UF,3.2,5160000,CBS,TENN@UF09-16-2017
10/7/2017,LSU @ Florida,LSU-Florida10-07-2017,LSU,Florida,LSU,UF,2.5,4140000,CBS,LSU@UF10-07-2017
10/28/2017,Georgia vs. Florida (@Jacksonville),Georgia-Florida10-28-2017,Georgia,Florida,UGA,UF,2,3410000,CBS,UGA@UF10-28-2017
